,tokens,label,size
0,"['억지', '설정', '에', '눈물', '짜깁기', '한', '게', '아니', '던데요', '정말', '잘', '봤', '어요', '배우', '들', '연기', '최고']",9,17
1,"['보', '면서', '전혀', '억지', '라는', '생각', '이', '들', '지', '않', '았', '던', '영화', '에', '요', '평소', '에', '영화', '보', '다가', '현실', '적', '이', '지', '않', '은', '장면', '이', '나오', '면', '흥미', '가', '확', '떨어졌었', '는데', '억지', '스러울', '수', '있', '는']",10,40
2,"['영화', '를', '보', '고', '평점', '등록', '하', '긴', '하나', '감성', '팔', '이', '니', '유치', '하', '니', '감수', '성', '이', '말라', '있', '나', 'ㅡ', 'ㅡ', '교도소', '감옥', '바탕', '으로', '이런', '소재', '로', '영화', '화', '해서', '웃음', '과', '감동', '을', '주', '는']",10,40
3,"['많', '은', '내용', '을', '담', '은', '영화', '배우', '들', '의', '연기', '와', '내용', '이', '잘', '전달', '된', '것', '같', '아서', '좋', '앗', '어여']",10,23
4,"['경찰', '청장', '배역', '씹', '어', '먹', '을', '인간', '폭행', '및', '공갈', '협박죄', '공무', '집행', '방해', '로', '징역', '년', '을', '처하', '라']",8,21
5,"['웃기', '고', '슬프', '고', '화나', '고']",10,6
6,"['원래', '슬픈', '영화', '잘', '안', '보', '는데', '류승룡', '나온다고', '해서', '보', '러', '갔', '다가', '울', '뻔', '했', '다']",10,18
7,['ㅜㅜ'],10,1
8,"['유치', '하', '던데']",6,3
9,"['돈', '주', '고', '안', '아까운', '영화', '진심', '눈물', '참', '느라', '죽', '는', '줄']",10,13
10,"['음', '뭔가', '딱히', '다운', '받', '아서', '볼', '만', '한', '영화', '라는', '생각', '이', '마니', '들', '었', '음', '슬프', '긴', '한대', '뭔가', '무리', '한', '설정']",7,24
11,"['전문가', '들', '은', '뭘', '기준', '으로', '평점', '을', '먹이', '는지', '는', '모르', '지만', '이', '영화', '는', '점', '이상', '짜리', '가', '확실', '하', '다', '류승용', '과', '아역', '연기', '만', '봐도', '점', '은', '줘야', '된다']",10,33
12,"['정의', '에', '이름', '으로', '오', '글', '거려', '죽', '는', '줄', '알', '았', '네요']",6,13
13,"['아', '눈물', '도', '안', '나오', '고', '솔직히', '가족', '이랑', '편하', '게', '보', '긴', '좋', '았', '지만', '류승룡', '의', '역할', '에', '대한', '연기', '는', '매우', '실망', '이', '었', '다']",3,28
14,"['웃음', '감동', '그러나', '역시', '나', '끝', '에', '는', '전형', '적', '인', '한국', '영화', '의', '유치', '한', '감성', '팔', '이']",8,19
15,"['진짜', '재', '밋', '어요', 'ㅠㅠ']",10,5
16,['굿'],10,1
17,"['울', '었', '뜸']",10,3
18,"['다시', '또', '보', '고', '싶', '은', '영화']",10,7
19,"['와', '울', '뻔했', '어요', '흑흑', '꼭', '보', '세요', '안', '보', '시', '면', '후회', '하', '실', '꺼', '예요', 'ㅋㅋㅋ']",10,18
20,['굿'],10,1
21,"['가벼운', '마음', '으로', '보', '고', '가벼운', '마음', '으로', '나왔', '다']",7,10
22,"['강추', '해요', '가벼운', '마음', '으로', '보', '세요', '휴지', '는', '꼭', '준비', 'ㅋㅋ']",10,12
23,"['정말', '간만에', '좋', '은', '한국', '영화', '보', '았', '다', '잘', '가', '다가', '억지', '설정', '이', '있', '어', '조금', '아쉬웠', '지만', '그것', '을', '커버', '해', '주', '는', '연기력', '과', '유쾌', '함', '에', '매우', '좋', '았', '다', '가족', '들', '끼리', '연인', '끼리']",10,40
24,"['마지막', '에', '죽', '는다', 'ㅜㅜ']",9,5
25,['짱'],10,1
26,"['약간', '억지', '스런', '전개', '와', '눈물', '을', '짜내', '는', '듯', '한', '느낌', '하', '지만', '열연', '이', '돋보였', '다']",10,18
27,"['전문가', '평점', '대로', '연기', '가', '모든', '걸', '차지', '한', '영화', '스토리', '전개', '나', '소재', '는', '너무', '실망', '스러운', '면', '이', '있', '었', '음']",6,23
28,"['지루', '한', '면', '이', '없', '고', '재밌', '네여']",10,8
29,"['이런', '영화', '에게', '억지', '눈물', '억지', '스토리', '를', '부여', '한다면', '당신', '들', '은', '괴물', '이', '란', '영화', '에게', '쌍욕', '을', '해', '보', '라']",10,23
30,"['정말', '재밌', '는데', '마무리', '에서', '조금', '아쉽', '네요']",9,8
31,"['바보', '같', '지', '않', '은', '바보', '어색', '한', '연기']",3,9
32,"['예승', '이', '의', '연기', '에', '박수', '를', '보냅니다']",10,8
33,"['너무', '기대', '하', '고', '보', '지', '는', '말', '것', 'ㅠ']",7,10
34,"['별로', '재미없', '엇다']",1,3
35,"['진짜', '보', '고', '엄청', '울', '었', '어요', '너무', '슬펐', '어요']",10,10
36,"['엉성', '한', '구성', '현실', '성', '결여', '억지', '감동', '의', '삼박자', '배우', '들', '의', '호연', '은', '빛났', '다']",6,17
37,"['영화', '보', '면서', '운', '적', '한', '번', '도', '없', '었', '는데', '이', '영화', '보', '고선', '펑펑', '울', '었', '음', '너무', '슬퍼서', '영화관', '에서', '뛰쳐나가', '고', '싶', '었', '어요', '억지', '스러운', '면', '도', '있', '지만', '그냥', '영화', '니까', '감동', '만', '가슴']",9,40
38,"['감동', '과', '재미', '그리고', '내', '가', '정말', '좋', '아', '하', '는', '멋진', '배우', '들', '의', '출연', '정말', '여운', '이', '오래', '갈', '듯', '합니다', '딸', '을', '진', '씸', '으로', '아끼', '는', '아버지', '의', '희생', '과', '작', '고', '어린', '마음', '깊', '은']",10,40
39,"['최고', '다']",10,2
40,"['진짜', '너무', '슬프', '고', '재미있', '다', '억지로', '울릴', '려고', '하', '는', '거', '같', '다고', '하', '지', '말', '고', '그냥', '영화', '에', '빠져서', '봐라']",10,23
41,"['평점', '보', '면', '점', '이', '당연', '하', '고', '나', '도', '그렇', '다', '아역', '도', '귀여웠', '다', '코미디', '물', '이', '지만', '슬픈', '이', '영화', '보', '면서', '안', '울', '어야지', '하', '다가', '눈', '망치', '고', '집', '에', '왔', '다']",10,37
42,"['연기', '는', '뛰어났', '지만', '스토리', '로써', '는', '너무나', '허접', '하', '디', '못해', '시류', '편승', '그리고', '진부', '한', '스토리', '그래서', '점']",2,20
43,"['아역', '연기자', '가', '너무', '귀여울', '뿐']",3,6
44,"['연기자', '들', '연기', '가', '영화', '를', '살렸', '음']",6,8
45,"['십', '점', '까진', '진짜', '아니', '다', '이제껏', '본', '영화', '중', '케로로', '극장판', '다음', '으로', '별로', '다', '코미디', '도', '아니', '고', '뭐', '도', '아니', '고', '너무', '억지', '스러움', '별로', '라는', '느낌', '나', '만든', '건가']",3,33
46,"['너무', '감동', '적', '이', '고', '저', '진짜', '감정', '이', '매', '마른', '사람', '인데', '영화', '보고', '처음', '으로', '울', '어', '보', '네여']",9,21
47,"['배우', '들', '은', '물론', '어린', '아역', '까지', '연기', '가', '완벽', '했', '던', '그런', '영화', '코믹', '연기', '에', '감동', '까지', '빼놓', '을', '거', '없', '는', '완벽', '한', '영화']",10,27
48,"['아주', '감동', '적', '이', '고', '보', '면서', '울', '엇', '습니다']",10,10
49,"['너무너무', '감동', '적', '이', '게', '봤', '고', '배', '우분', '들', '연기', '너무', '잘', '하', '시', '구요', '잘', '봤', '습니다']",9,19
50,['짱'],10,1
51,"['난', '예승', '이', '에게', '점', '을', '주', '겠', '어']",10,9
